name,category,price,status,description
Margherita Pizza,Pizza,12.99,Active,Classic pizza with tomato sauce and mozzarella
Chicken Burger,Burgers,8.50,Active,Grilled chicken breast with lettuce and mayo
Caesar Salad,Salads,7.25,Active,Fresh romaine lettuce with caesar dressing
Coca Cola,Beverages,2.50,Active,Refreshing cola drink
Chocolate Cake,Desserts,5.99,Inactive,Rich chocolate cake with frosting
Pepperoni Pizza,Pizza,14.99,Active,Pizza with pepperoni and cheese
Fish & Chips,Main Course,11.75,Active,Battered fish with crispy fries
Green Tea,Beverages,2.00,Active,Healthy green tea
Tiramisu,Desserts,6.50,Active,Italian coffee-flavored dessert
Veggie Wrap,Wraps,6.99,Active,Fresh vegetables wrapped in tortilla