Name,Category,SKU,Price,Stock,Status
"iPhone 14 Pro","Electronics","IP14PRO001",999.99,50,"In Stock"
"Samsung Galaxy S23","Electronics","SGS23001",849.99,35,"In Stock"
"MacBook Air M2","Electronics","MBA2022001",1199.99,15,"In Stock"
"Nike Air Max 270","Apparel","NAM270001",129.99,80,"In Stock"
"Adidas Ultraboost 22","Apparel","AUB22001",179.99,25,"Low Stock"
"Levi's 501 Jeans","Apparel","L501001",79.99,60,"In Stock"
"Coffee Maker Deluxe","Home & Living","CMD001",89.99,20,"In Stock"
"Wireless Bluetooth Headphones","Electronics","WBH001",199.99,0,"Out of Stock"
"Yoga Mat Premium","Wellness","YMP001",49.99,40,"In Stock"
"Kitchen Knife Set","Home & Living","KKS001",149.99,12,"Low Stock"
"Protein Powder Vanilla","Wellness","PPV001",39.99,100,"In Stock"
"Gaming Mouse RGB","Electronics","GMR001",79.99,45,"In Stock"
"Ceramic Dinner Plates Set","Home & Living","CDPS001",69.99,30,"In Stock"
"Running Shorts","Apparel","RS001",29.99,75,"In Stock"
"Essential Oil Diffuser","Wellness","EOD001",59.99,18,"In Stock"